group,xgb_pred_RMSE,xgb_pred_MAE,xgb_pred_R2,rf_pred_RMSE,rf_pred_MAE,rf_pred_R2,gb_pred_RMSE,gb_pred_MAE,gb_pred_R2,lr_pred_RMSE,lr_pred_MAE,lr_pred_R2,ridge_pred_RMSE,ridge_pred_MAE,ridge_pred_R2,lasso_pred_RMSE,lasso_pred_MAE,lasso_pred_R2,count
0,2.8919668246112904,1.6667133721667782,0.9277655535781528,2.8942834151399364,1.718479723582346,0.9276497813947792,2.7042249746717633,1.650067733345331,0.936839817769009,3.6375109700096155,2.3734408871027433,0.8857210190266529,3.637513434082861,2.3734563505863058,0.8857208641999721,3.633240823917899,2.36779093060034,0.8859891702534883,13224
1,2.6466332941357584,1.646344047911967,0.9344440748474885,2.845790247824714,1.7356868187082335,0.9242068108660783,2.6903988466649973,1.671589996116819,0.9322580422105826,4.667479005545666,2.357477257427357,0.7961131792150261,4.667404156224952,2.3574891818989516,0.7961197183628858,4.660606787301864,2.3566022908408875,0.7967131275916071,2953
2,2.3163728225032743,1.657457493929471,0.9548376516905056,2.3348222191140504,1.6901714905709897,0.9541153704873718,2.2585877829377283,1.62679668042802,0.9570628174475453,2.9195842713846876,2.3003024165355797,0.9282533504741772,2.9196057384292486,2.300323198173165,0.9282522953964389,2.92255996676952,2.3046970684865684,0.9281070248649941,828
3,2.208824664045331,1.5824647439093817,0.9430043782528619,2.1560447130225904,1.5945857856358299,0.945695660483403,2.034042250769134,1.5413381224215756,0.9516675345641227,2.948088287843389,2.1858196490239257,0.8984686921861216,2.9481147117683584,2.1858481391357527,0.8984668721133007,2.9573115447454996,2.1964937899693173,0.8978324058129116,336
4,2.4083856415214178,1.7023902147954113,0.9526510394162626,2.649917540330282,1.8137604365937217,0.9426777655963482,2.6125191832831653,1.7464709260801938,0.9442843287470244,3.0470486544422255,2.3611156320145716,0.9242090817227752,3.0470447176944786,2.3611344933529717,0.9242092775644357,3.057814556382223,2.374576692356358,0.9236725631654279,1209
5,2.330593962345469,1.5954684461246835,0.9503586524427623,2.59207495132029,1.6631087391939594,0.9385947592088362,2.572105119967113,1.6336539591087316,0.939537269504202,2.8067517276018203,2.2012252830628856,0.9280023493077433,2.806748694090651,2.2012415293005194,0.928002504936442,2.8206095133002376,2.219975387147094,0.9272896456885695,704
