group,xgb_pred_RMSE,xgb_pred_MAE,xgb_pred_R2,rf_pred_RMSE,rf_pred_MAE,rf_pred_R2,gb_pred_RMSE,gb_pred_MAE,gb_pred_R2,lr_pred_RMSE,lr_pred_MAE,lr_pred_R2,ridge_pred_RMSE,ridge_pred_MAE,ridge_pred_R2,lasso_pred_RMSE,lasso_pred_MAE,lasso_pred_R2,count
Long,8.767427127380698,5.4399113904512815,0.04775511706946012,8.654698236510228,5.261240164822606,0.07208503737787886,7.384102714282399,5.116371138447069,0.3245397813091947,29.52218376559831,14.429754386185694,-9.796954629840293,29.52125795949779,14.428983305255809,-9.796277462472943,29.46946070792414,14.437267230517705,-9.758424949133717,52
Medium,4.840355035635389,3.606405860468713,0.7910758869075611,5.048384611867816,3.7991156585052033,0.7727316285360366,4.826829440498911,3.639563104648474,0.7922418653503945,5.4802369762850525,4.26866573978684,0.7321862882221246,5.480172911723322,4.268602593762185,0.7321925497279168,5.473646906857676,4.262249840174288,0.7328300011840059,1836
Short,3.440731259646807,2.189474021208432,0.5594538731747061,3.429881372187671,2.2520713780016286,0.5622278994997408,3.1878972104744334,2.159768027055164,0.6218200496029265,4.081743568038901,2.452330493371648,0.38001481008297,4.081738569385925,2.4522982823124244,0.3800163285952751,4.0796496358016165,2.449303284761673,0.38065075105497603,3754
Very Short,1.9498271630702841,1.3890376840749223,0.4886276897991878,2.1225031345846337,1.458170381187236,0.3940432101018224,1.9848841091155691,1.4052866960322354,0.4700739301924213,2.4202538242838583,1.8370342121342265,0.21210779160496784,2.4202592299247523,1.8370386920709758,0.212104272083953,2.4173373457236926,1.8336365096677345,0.21400551506589904,6491
